outlet,tier,country,language,default_eav,default_reach,clip_count,first_seen,last_seen
Khaleej Times,T2,,,2200,500000,163,2020-06-27,2026-04-25
Arabian Business,T1-Local,,,9500,250000,121,2020-01-01,2026-04-20
Zawya,T2,,,1000,100000,105,2022-01-25,2026-04-23
Gulf News,T2,,,1000,150000,47,2020-10-01,2025-10-26
The National,T2,,,9300,200000,39,2021-11-06,2024-09-04
MENAFN,T3,,,,,32,2024-04-29,2026-03-09
MSN,T2,,,,,25,2024-03-06,2026-04-23
Construction Week,T2,,,3000,40000,22,2020-10-05,2026-03-06
AGBI,T2,,,1000,30000,21,2023-06-26,2025-08-22
The National News,T2,,,9300,200000,18,2022-08-12,2026-04-19
Bloomberg,T1-Global,,,20000,600000,16,2022-04-19,2026-04-23
Economy Middle East,T2,,,5000,50000,16,2024-10-09,2025-11-26
Press Reader,T3,,,,,11,2024-12-02,2026-03-24
Thomson Reuters,T1-Global,,,20000,1000000,9,2022-07-29,2025-09-08
Trade Arabia,T3,,,,,9,2020-04-14,2026-02-05
Arqam News,T3,,,,,8,2025-05-02,2025-12-18
Gulf Business,T2,,,5000,50000,8,2025-04-24,2025-10-04
Better Living Magazine,Other,,,,,7,2021-01-01,2021-11-01
CW-Property,T3,,,,,7,2024-03-26,2024-07-23
Construction Week Middle East,T1-Local,,,3000,40000,7,2025-05-13,2025-11-26
One Ville News,T3,,,,,7,2025-04-24,2026-02-23
Property News Time,T3,,,,,7,2025-02-05,2025-09-08
Business Recorder,T3,,,,,6,2022-07-30,2025-05-16
The Economic Times,T3,,,,,6,2022-07-29,2026-04-23
Zawaya,T2,,,,,6,2020-07-30,2021-11-03
Arab News,T2,,,,,5,2022-08-10,2023-07-17
Gulf Daily News,T2,,,,,5,2022-10-21,2026-04-10
Mena FN,T2,,,,,5,2023-02-25,2023-10-10
One Arabia,T2,,,,,5,2025-06-12,2025-11-04
What's On,T2,,,6000,100000,5,2024-01-24,2025-08-26
Business Lobbies,T3,,,200,50000,4,2025-06-16,2025-08-26
Digital Journal,T3,,,,,4,2022-10-27,2025-08-16
Market Insider,T3,,,,,4,2025-02-18,2025-04-30
Open PR,T3,,,,,4,2023-01-23,2025-11-04
Reuters,T1-Global,,,20000,1000000,4,2023-02-08,2026-03-05
The Business Times,T2,,,,,4,2022-07-29,2026-04-23
Time Out Dubai,T2,,,,,4,2023-03-30,2023-10-02
Al Arabiya,T2,,,,,3,2022-11-23,2023-02-09
Arabian Gulf Business Insight,T2,,,,,3,2022-09-12,2022-09-13
BNN Bloomberg,T1-Global,,,5000,50000,3,2023-03-20,2024-09-29
Business Insider,T2,,,,,3,2023-08-18,2025-10-22
DC News (Romania),T3,Romania,,,,3,2022-10-26,2022-12-02
Forbes (Russia),T1-Global,Russia,,,,3,2023-01-16,2023-04-27
Lovin Dubai,T1-Local,,,2000,20000,3,2025-12-18,2025-12-18
ME Contruction News,T2,,,,,3,2022-06-09,2022-11-22
Mansion Global,T1-Global,,,10000,1500000,3,2023-10-11,2024-10-15
Mena FM,T3,,,,,3,2022-05-30,2022-08-05
Money Control,T3,,,,,3,2022-08-06,2026-02-04
Property News,T2,,,,,3,2021-10-19,2022-08-01
Street Insider,T3,,,,,3,2025-01-13,2025-08-13
TimeOut Dubai,T2,,,,,3,2022-10-10,2022-11-07
Yahoo,T2,,,5000,5000000,3,2023-06-19,2024-05-07
Yahoo Finance,T3,,,,,3,2023-02-24,2025-07-23
Arab news,T2,,,,,2,2022-04-25,2022-05-06
Arqam.news,T2,,,,,2,2026-04-17,2026-04-23
BBC,T1-Global,,,,,2,2023-03-29,2023-04-03
BW Hindi (India),T3,India,,,,2,2023-11-04,2023-12-15
Builtenvironmentme,T2,,,,,2,2025-05-30,2025-08-13
Business Outreach,T3,,,,,2,2024-03-06,2025-03-15
Business Today,T2,,,,,2,2023-11-14,2026-04-24
CNN,T1-Global,,,,,2,2023-06-12,2023-08-15
Construction Business News ME,T2,,,3000,40000,2,2025-05-01,2025-06-16
Curly Tales,T2,,,,,2,2023-12-10,2024-04-10
DP (Russia),T3,Russia,,,,2,2023-10-03,2023-12-19
Daily Guardian,T2,,,,,2,2023-11-19,2023-11-24
El Correo de Golfo (Spain),T3,Spain,,,,2,2022-11-09,2023-01-27
El Correo del Golfo (Spain),T3,Spain,,,,2,2022-08-12,2022-09-21
Euro News,T2,,,,,2,2022-08-26,2022-09-26
Euro News (Germany),T2,Germany,,,,2,2022-08-26,2022-09-26
Euro News (Italy),T2,Italy,,,,2,2022-08-26,2022-09-26
Euro News (Spain),T2,Spain,,,,2,2022-08-26,2022-09-26
Finance Middle East,T3,,,,,2,2024-02-29,2024-03-22
Forbes (Romania),T1-Global,Romania,,,,2,2023-06-23,2023-07-07
International Business Magazine,T3,,,,,2,2021-11-09,2021-11-09
Khaleej Times (Online & Print),T2,,,,,2,2023-07-17,2023-07-25
Khaleej Times (Print),T2,,,,,2,2022-08-05,2022-09-07
Le Petit Journal (France),T3,France,,,,2,2023-05-31,2024-01-21
Liana Press,T3,,,,,2,2021-10-18,2021-11-03
MENA FN,T3,,,,,2,2022-10-18,2022-10-20
Prian (Russia),T3,Russia,,,,2,2023-07-30,2023-10-11
Property Finder Blog,Other,,,,,2,2020-02-12,2020-04-26
Russia Matters,T3,,,,,2,2023-01-18,2023-08-18
Super Guide Veronica (Netherlands),T3,Netherlands,,,,2,2024-01-10,2024-01-17
The Arabian Marketer,T3,,,,,2,2025-01-09,2025-11-10
The Brew News,T2,,,,,2,2025-04-24,2025-08-20
The Circuit,T2,,,,,2,2024-02-22,2024-02-22
The Globe and Mail,T3,,,,,2,2025-01-10,2025-03-13
The Guardian,T1-Global,,,9000,700000,2,2022-06-12,2025-02-05
The Times Of India,T3,,,,,2,2023-11-15,2023-11-22
Toitre (Vietnam),T3,Vietnam,,,,2,2023-01-18,2023-08-23
UAE Business,T3,,,,,2,2021-10-19,2021-11-03
Web Release,T3,,,,,2,2025-04-23,2025-04-25
Whats On,T2,,,,,2,2022-05-31,2022-06-02
Wral.com,T3,,,,,2,2025-10-22,2025-11-06
9News,T3,,,,,1,2023-04-28,2023-04-28
ABC Money,T3,,,,,1,2023-01-31,2023-01-31
ABC News,T3,,,,,1,2023-02-13,2023-02-13
ANI News,T3,,,,,1,2025-07-03,2025-07-03
AP News,T1-Global,,,,,1,2023-02-15,2023-02-15
Aaj TV News,T3,,,,,1,2025-03-12,2025-03-12
Act Media (Romania),T3,Romania,,,,1,2022-09-06,2022-09-06
Aduvarul (Romania),T3,Romania,,,,1,2022-11-11,2022-11-11
Advance Financial Network UK,T3,,,,,1,2025-07-22,2025-07-22
Ahval (Turkey),T3,Turkey,,,,1,2022-08-17,2022-08-17
Akhbrna News,T2,,,,,1,2024-02-23,2024-02-23
Akhbrna.co,T3,,,,,1,2024-05-21,2024-05-21
Al Arabyia,T3,,,,,1,2023-01-18,2023-01-18
Al Bawaba,T3,,,,,1,2022-06-01,2022-06-01
Al-monitor,T3,,,,,1,2022-10-20,2022-10-20
Albayan.ae,T3,,,,,1,2023-12-21,2023-12-21
Alwast News,T3,,,,,1,2024-06-22,2024-06-22
American News Report,T3,,,,,1,2023-07-09,2023-07-09
Andhrajyothy (India),T3,India,,,,1,2023-07-15,2023-07-15
Area Militar (Portuguese),T3,Portuguese,,,,1,2023-06-15,2023-06-15
Arise news,T3,,,,,1,2022-05-06,2022-05-06
Atalayar (Spain),T3,Spain,,,,1,2023-05-15,2023-05-15
Aviation Business ME,T3,,,,,1,2025-06-11,2025-06-11
BBC News,T1-Global,,,,,1,2022-05-05,2022-05-05
BFM TV (France),T3,France,,,,1,2023-02-24,2023-02-24
BNN Breaking,T2,,,,,1,2024-03-06,2024-03-06
Banking News (Greece),T3,Greece,,,,1,2023-01-18,2023-01-18
Bazaar Times,T3,,,,,1,2024-10-17,2024-10-17
Bdnews24 (Bangladesh),T3,Bangladesh,,,,1,2022-08-10,2022-08-10
Beritautama (Indonasia),T3,Indonasia,,,,1,2023-06-26,2023-06-26
Big news network,T3,,,,,1,2026-03-08,2026-03-08
Biz Live (Vietnam),T3,Vietnam,,,,1,2023-02-13,2023-02-13
BizNews,T3,,,,,1,2022-10-19,2022-10-19
Bizpreneur Middle East,T2,,,,,1,2024-10-16,2024-10-16
Bloomberg (Bulgaria),T1-Global,Bulgaria,,,,1,2023-11-07,2023-11-07
Bloomberg (Canada),T1-Global,Canada,,,,1,2023-11-06,2023-11-06
Bloomberg (Portugal),T1-Global,Portugal,,,,1,2023-03-12,2023-03-12
Bloomberg Middle East,T1-Global,,,20000,300000,1,2025-04-14,2025-04-14
Blue News (Germany),T3,Germany,,,,1,2023-02-13,2023-02-13
Bol News (Pakistan),T3,Pakistan,,,,1,2024-01-22,2024-01-22
Built Environment,T2,,,5000,50000,1,2025-10-30,2025-10-30
Business Insider India,T3,,,,,1,2024-01-12,2024-01-12
Business Live,T3,,,,,1,2022-10-20,2022-10-20
Business Mole,T3,,,,,1,2022-05-13,2022-05-13
Business Petersburg,T3,,,,,1,2023-11-16,2023-11-16
Business Recorder (Pakistan),T3,Pakistan,,,,1,2024-01-22,2024-01-22
Business Standard,T2,,,,,1,2026-04-24,2026-04-24
Buzz News (Italy),T3,Italy,,,,1,2022-08-09,2022-08-09
CBC (Canada),T1-Global,Canada,,,,1,2022-11-11,2022-11-11
CBS4 News,T2,,,,,1,2024-02-16,2024-02-16
CNBC,T1-Global,,,,,1,2022-07-08,2022-07-08
Cafe F (Vietnam),T3,Vietnam,,,,1,2023-09-06,2023-09-06
Campaign Middle East,T3,,,,,1,2025-08-25,2025-08-25
Capital (France),T3,France,,,,1,2023-05-31,2023-05-31
Challenges (France),T3,France,,,,1,2023-01-24,2023-01-24
Construction News,T2,,,,,1,2023-05-04,2023-05-04
Creativezone,T3,,,,,1,2021-05-05,2021-05-05
Cronella News,T3,,,,,1,2022-05-23,2022-05-23
DNA,T3,,,,,1,2023-12-06,2023-12-06
Dagens Industri (Sweeden),T3,Sweeden,,,,1,2023-01-16,2023-01-16
Dawn,T3,,,,,1,2022-07-30,2022-07-30
Dawn.com,T3,,,,,1,2026-03-06,2026-03-06
De Morgen (Netherlands),T3,Netherlands,,,,1,2023-03-16,2023-03-16
Dubai Chronicle,T2,,,,,1,2024-03-12,2024-03-12
Dubai Economic Times (India),T3,India,,,,1,2023-02-23,2023-02-23
Dubai eye,T2,,,,,1,2022-07-27,2022-07-27
Dubai eye 103.8,T2,,,,,1,2022-07-20,2022-07-20
E News (Russia),T3,Russia,,,,1,2023-10-30,2023-10-30
ET Realty,T3,,,,,1,2026-03-06,2026-03-06
El Correo del Golfo,T3,,,,,1,2022-07-30,2022-07-30
Epravda (Russia),T3,Russia,,,,1,2023-11-07,2023-11-07
Euonews,Other,,,,,1,2020-09-17,2020-09-17
Euro Money,T3,,,,,1,2023-09-23,2023-09-23
Euro News (France),T2,France,,,,1,2022-09-26,2022-09-26
Euro News (Portugal),T1-Global,Portugal,,,,1,2022-08-26,2022-08-26
Euro News (Turkey),T1-Global,Turkey,,,,1,2022-08-26,2022-08-26
Euro Post (Greece),T3,Greece,,,,1,2023-06-26,2023-06-26
Euroeporter,T3,,,,,1,2022-06-15,2022-06-15
European Life Magazine,Other,,,,,1,2020-05-12,2020-05-12
Evenmitul (Romania),T3,Romania,,,,1,2022-11-16,2022-11-16
Facilities Management,T3,,,,,1,2021-10-20,2021-10-20
Finance Middle East - Lnkd,T3,,,,,1,2024-03-22,2024-03-22
FinanceWorld,T2,,,,,1,2024-10-12,2024-10-12
Financial Daily (Dutch),T3,Dutch,,,,1,2023-11-15,2023-11-15
Financial Express,T3,,,,,1,2024-10-28,2024-10-28
Financial Investor,T3,,,,,1,2022-08-11,2022-08-11
Financial News (Netherlands),T3,Netherlands,,,,1,2022-10-26,2022-10-26
Financial Times,T1-Global,,,,,1,2023-03-03,2023-03-03
Finansavisen (Norway),T3,Norway,,,,1,2023-01-16,2023-01-16
Finanzemarkt (Germany),T3,Germany,,,,1,2023-01-16,2023-01-16
Foco (Spain),T3,Spain,,,,1,2023-01-16,2023-01-16
Forbes (Ukarain),T1-Global,Ukarain,,,,1,2023-01-16,2023-01-16
Forbes India,T1-Global,,,,,1,2023-02-24,2023-02-24
Forbes ME + In print,T1-Global,,,,,1,2023-11-18,2023-11-18
Forbes Middle East,T1-Global,,,20000,100000,1,2025-04-19,2025-04-19
Forbes Middle East (Instagram),T1-Global,Instagram,,,,1,2023-02-24,2023-02-24
GDN Online (Bahrain),T3,Bahrain,,,,1,2022-08-09,2022-08-09
Gazetatema (Albanian),T3,Albanian,,,,1,2023-06-26,2023-06-26
Gazette Duvar (Turkey),T3,Turkey,,,,1,2023-01-22,2023-01-22
Global Business Outlook,Other,,,,,1,2020-03-25,2020-03-25
Global Village Space,T3,,,,,1,2022-07-30,2022-07-30
GlobalNewsWire,T3,,,,,1,2025-02-18,2025-02-18
Greatandhra,T3,,,,,1,2026-03-08,2026-03-08
Gulf -Times,T3,,,,,1,2024-01-27,2024-01-27
Gulf Business Daily,T1-Local,,,1000,100000,1,2026-03-12,2026-03-12
Gulf Daily News - Bahrain,T3,,,,,1,2024-01-15,2024-01-15
Gulf News (online + print),T3,,,,,1,2024-03-19,2024-03-19
Gulf Today,T2,,,,,1,2023-06-21,2023-06-21
Haberler (Turkey),T3,Turkey,,,,1,2022-09-01,2022-09-01
Harber Global (Turkey),T3,Turkey,,,,1,2023-04-03,2023-04-03
Hot News (Romania),T3,Romania,,,,1,2022-11-14,2022-11-14
House Fun (China),T3,China,,,,1,2023-03-03,2023-03-03
IG (Ishradgul News),T3,Ishradgul News,,,,1,2024-01-26,2024-01-26
INSC Digital Magazine,T3,,,,,1,2023-12-10,2023-12-10
Il Matinno (Italy),T3,Italy,,,,1,2023-01-16,2023-01-16
India news,T3,,,,,1,2026-03-08,2026-03-08
Industrial Real Estate News,T3,,,,,1,2021-10-20,2021-10-20
Info (Israel),T3,Israel,,,,1,2022-08-27,2022-08-27
Info Nasional,T2,,,,,1,2026-04-23,2026-04-23
Interia (Poland),T3,Poland,,,,1,2023-01-20,2023-01-20
"International Business Times, Singapore Edition",T3,,,,,1,2026-03-06,2026-03-06
International Investment,T3,,,,,1,2022-05-06,2022-05-06
Investing.com,T3,,,,,1,2024-01-26,2024-01-26
Investing.com (Russia),T3,Russia,,,,1,2022-12-07,2022-12-07
Investor Bg,T3,,,,,1,2022-07-30,2022-07-30
Investor.bg,T3,,,,,1,2023-12-19,2023-12-19
Irytas (Lithuania),T3,Lithuania,,,,1,2023-03-03,2023-03-03
Jobx News,T3,,,,,1,2024-11-09,2024-11-09
Jordan News,T3,,,,,1,2023-04-03,2023-04-03
Jordan Times,T3,,,,,1,2023-02-21,2023-02-21
Kalgoorlie Miner,T3,,,,,1,2022-07-08,2022-07-08
Kaz Inform (Russia),T3,Russia,,,,1,2023-01-18,2023-01-18
Khaleej TImes,T2,,,,,1,2022-08-14,2022-08-14
Kumparan (Indonasia),T3,Indonasia,,,,1,2023-01-16,2023-01-16
La Republica (Spain),T3,Spain,,,,1,2023-03-01,2023-03-01
Latest LY,T3,,,,,1,2023-01-15,2023-01-15
Le Monde (France),T3,France,,,,1,2023-05-25,2023-05-25
Leadership News,T3,,,,,1,2022-05-19,2022-05-19
Logicno (Croatia),T3,Croatia,,,,1,2023-09-02,2023-09-02
Lovin Dubai (Insta),T2,Insta,,,,1,2022-07-30,2022-07-30
Luzernerzeitung (German),T3,German,,,,1,2023-06-28,2023-06-28
MBN,T3,,,,,1,2025-10-16,2025-10-16
MEA Business,T3,,,,,1,2024-05-24,2024-05-24
MEED,T3,,,,,1,2025-03-13,2025-03-13
MENA FM,T2,,,,,1,2026-04-23,2026-04-23
MSN.com,T3,,,,,1,2024-04-07,2024-04-07
Manager (Bulgaria),T3,Bulgaria,,,,1,2023-01-16,2023-01-16
Market Screener (Netherlands),T3,Netherlands,,,,1,2023-01-16,2023-01-16
Marketers Media Room,T3,,,,,1,2025-06-25,2025-06-25
Markets Insider,T3,,,,,1,2025-01-11,2025-01-11
Mechanical Electrical Plumbing,T2,,,,,1,,
MediaFax (Romania),T3,Romania,,,,1,2022-08-23,2022-08-23
Medium Value Strat,T3,,,,,1,2021-11-09,2021-11-09
MenaFN,T3,,,,,1,2024-05-12,2024-05-12
MenaFn,T3,,,,,1,2024-03-17,2024-03-17
Menafn,T3,,,,,1,2024-02-18,2024-02-18
Mid East Info,T3,,,,,1,2025-06-16,2025-06-16
Mid-eastinfo,T3,,,,,1,2026-03-12,2026-03-12
Mirchi 9 (India),T3,India,,,,1,2022-08-01,2022-08-01
Mirror,T2,,,,,1,2022-05-05,2022-05-05
Money & Banking (Thailand),T3,Thailand,,,,1,2022-07-30,2022-07-30
Msk1 (Russia),T3,Russia,,,,1,2023-11-21,2023-11-21
NDTV,T3,,,,,1,2022-10-19,2022-10-19
NPR,T3,,,,,1,2023-02-21,2023-02-21
Nabd-alhadath,T3,,,,,1,2025-06-16,2025-06-16
Nasdaq,T2,,,,,1,2022-10-20,2022-10-20
Navbharattimes (The Times Of India),T3,The Times Of India,,,,1,2023-11-14,2023-11-14
News Arab,T2,,,,,1,2023-08-22,2023-08-22
News Karnataka,T2,,,,,1,2026-04-23,2026-04-23
News Week (US),T3,,,,,1,2022-08-16,2022-08-16
News.ESEuro,T3,,,,,1,2023-12-24,2023-12-24
News18,T3,,,,,1,2026-03-06,2026-03-06
News24,T3,,,,,1,2023-06-25,2023-06-25
NewsWire,T3,,,,,1,2022-11-04,2022-11-04
Noticia Del Mundo (Spain),T3,Spain,,,,1,2022-08-09,2022-08-09
OT (Greece),T3,Greece,,,,1,2023-06-22,2023-06-22
Osul Misr,T3,,,,,1,2024-03-28,2024-03-28
PR Newswire,T3,,,500,100000,1,2025-09-11,2025-09-11
PR.com,T3,,,,,1,2021-04-22,2021-04-22
Panorama,T3,,,,,1,2023-06-11,2023-06-11
Pi,T3,,,,,1,2024-01-26,2024-01-26
Play Tech (Romania),T3,Romania,,,,1,2022-08-27,2022-08-27
PressReader,T3,,,,,1,2024-02-23,2024-02-23
PressReader.com,T3,,,,,1,2025-02-05,2025-02-05
Pressbee,T3,,,,,1,2025-09-11,2025-09-11
Prime Resi,T2,,,,,1,2023-10-06,2023-10-06
Pro Pakistani,T3,,,,,1,2025-03-12,2025-03-12
Profit (Romania),T3,Romania,,,,1,2023-01-16,2023-01-16
Prop News Time,T3,,,,,1,2024-11-01,2024-11-01
Property Finder,T2,,,,,1,2021-11-04,2021-11-04
Property News International,T3,,,,,1,2025-07-19,2025-07-19
RBC Ukraine,T3,,,,,1,2026-03-06,2026-03-06
REM TImes,T3,,,,,1,2025-05-23,2025-05-23
RISmedia,T3,,,,,1,2025-10-15,2025-10-15
RU News24 (Russia),T3,Russia,,,,1,2023-05-03,2023-05-03
Radio Eye,T2,,,,,1,2021-11-06,2021-11-06
Reality Titbit,T3,,,,,1,2022-05-31,2022-05-31
Realty Plus,T3,,,,,1,2024-10-21,2024-10-21
Realty.com (Economic Times),T2,Economic Times,,,,1,2026-04-24,2026-04-24
Republica.com,T2,,,,,1,2026-04-07,2026-04-07
Reuters YT,T1-Global,,,,,1,2023-06-19,2023-06-19
Rossa Prima (Russia),T3,Russia,,,,1,2023-07-09,2023-07-09
Russian Emirate (Russia),T3,Russia,,,,1,2022-10-26,2022-10-26
SME,Other,,,,,1,2020-09-15,2020-09-15
Saltwire (US),T3,,,,,1,2023-06-19,2023-06-19
Samaa,T3,,,,,1,2023-01-16,2023-01-16
Shortlist Dubai,T3,,,,,1,2022-08-27,2022-08-27
Sindobatam (Indonasia),T3,Indonasia,,,,1,2022-08-09,2022-08-09
Skift,T2,,,,,1,2023-10-16,2023-10-16
Springfiled properties,T3,,,,,1,2021-04-22,2021-04-22
Tagblatt (Swiss-German),T1-Global,Swiss-German,,,,1,2023-06-28,2023-06-28
The Arabian Business Gulf Insight,T2,,,,,1,2022-11-11,2022-11-11
The Arucas Gazette,T3,,,,,1,2023-11-16,2023-11-16
The Cradle,T3,,,,,1,2023-05-25,2023-05-25
The Daily Star (China),T3,China,,,,1,2023-06-20,2023-06-20
The Digital Journal,T2,,,,,1,2023-06-08,2023-06-08
The DoGoodPress,T3,,,,,1,2023-02-03,2023-02-03
The Eastern Herald (India),T3,India,,,,1,2024-03-13,2024-03-13
The Economic Times (India),T3,India,,,,1,2023-11-14,2023-11-14
The Edge Malaysia,T3,,,,,1,2024-01-26,2024-01-26
The GIOI & Vietnam (Vietnam),T3,Vietnam,,,,1,2022-11-14,2022-11-14
The Independant (Spain),T3,Spain,,,,1,2023-02-20,2023-02-20
The Indian Express (India),T3,India,,,,1,2023-03-14,2023-03-14
The Latest News (Germany),T3,Germany,,,,1,2022-08-16,2022-08-16
The Manila Times,T3,,,,,1,2025-10-22,2025-10-22
The National (Online+Print),T2,,,9300,200000,1,2024-06-07,2024-06-07
The New Arab,T3,,,,,1,2022-06-12,2022-06-12
The New York Times,T1-Global,,,,,1,2023-03-20,2023-03-20
The News International,T3,,,,,1,2022-07-30,2022-07-30
The Print,T3,,,,,1,2023-11-12,2023-11-12
The Siasat Daily,T3,,,,,1,2024-04-10,2024-04-10
The Times of India,T3,,,,,1,2026-03-06,2026-03-06
The Wall,T3,,,,,1,2021-11-08,2021-11-08
The Wall Street Journal,T1-Global,,,,,1,2023-08-21,2023-08-21
The Washington Post (US),T3,,,,,1,2022-11-17,2022-11-17
The finance 360,T3,,,,,1,2025-12-04,2025-12-04
Time Bulletin,T3,,,,,1,2023-12-12,2023-12-12
Times Now (India),T3,India,,,,1,2024-02-05,2024-02-05
Times of india,T3,,,,,1,2025-10-26,2025-10-26
Titulares (Spain),T3,Spain,,,,1,2023-01-16,2023-01-16
Trade View,T3,,,,,1,2025-11-14,2025-11-14
Travel and Tour World,T3,,,,,1,2025-01-11,2025-01-11
Tycoon Story,T3,,,,,1,2025-05-14,2025-05-14
UKR Haber (Turkey),T3,Turkey,,,,1,2023-01-19,2023-01-19
UniverseNews Network,T3,,,,,1,2022-05-12,2022-05-12
Uppersetup,T3,,,,,1,2025-05-16,2025-05-16
VC (Russia),T3,Russia,,,,1,2023-11-24,2023-11-24
VOA News,T3,,,,,1,2023-02-13,2023-02-13
Vedomosti (Russia),T3,Russia,,,,1,2023-11-07,2023-11-07
Vietnam Bizz (Vietnam),T3,Vietnam,,,,1,2023-02-23,2023-02-23
Vietnam Net (Vietnam),T3,Vietnam,,,,1,2023-09-23,2023-09-23
WAM (China),T3,China,,,,1,2023-09-22,2023-09-22
WAM (English),T3,English,,,,1,2023-09-25,2023-09-25
WAM (Turkish),T3,Turkish,,,,1,2023-09-23,2023-09-23
Watson (France),T3,France,,,,1,2023-07-29,2023-07-29
Whats On Dubai,T2,,,,,1,2022-11-08,2022-11-08
Which School Advisor,T3,,,,,1,2025-06-09,2025-06-09
World Arabia,T3,,,,,1,2024-11-17,2024-11-17
Yahoo! Finance,T3,,,,,1,2025-09-11,2025-09-11
Zaman (Turkey),T3,Turkey,,,,1,2023-02-23,2023-02-23
Zawya YouTube,T2,,,,,1,2022-11-25,2022-11-25
Ziare (Romania),T3,Romania,,,,1,2023-04-15,2023-04-15
Ziarul Fanance (Romania),T3,Romania,,,,1,2022-11-09,2022-11-09
Ziarul National (Romania),T3,Romania,,,,1,2023-01-19,2023-01-19
Zone Bourse (France),T3,France,,,,1,2023-01-15,2023-01-15
barchart,T3,,,,,1,2025-10-22,2025-10-22
builtenvironmentme,T2,,,,,1,2025-05-13,2025-05-13
bwhindi.com,T3,,,,,1,2023-11-27,2023-11-27
dxboffplan.com,T2,,,,,1,2024-12-07,2024-12-07
egyeconomy,T3,,,,,1,2025-10-28,2025-10-28
https://nabd-alhadath.com/,T3,,,,,1,2025-10-28,2025-10-28
mid east info,T3,,,,,1,2025-01-23,2025-01-23
minfin.com.ua - Ukraine,T3,,,,,1,2024-01-16,2024-01-16
news.eseuro,T3,,,,,1,2023-12-10,2023-12-10
propertynews.ae,T3,,,,,1,2024-12-07,2024-12-07
ryb.ru,T3,,,,,1,2023-12-05,2023-12-05
samaa.tv,T3,,,,,1,2024-03-07,2024-03-07
technical review middles east,T3,,,,,1,2025-05-29,2025-05-29
uaenews247,T2,,,,,1,2025-07-29,2025-07-29
wam.ae,T3,,,,,1,2025-09-01,2025-09-01
